RefSoil ID	NCBI ID	Taxon ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Organism	RAST ID	Downloaded	Notes	Old_Assembly_Num		Inlcuded_in_my_RefSoil	Truncated_RefSoil	New_organism_name	New_Assembly_Num		Truncated_RefSoil
RefSoil_1	NC_000913.3	511145	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	511145.227	n		GCF_000005845.2		y	n	Escherichia coli str. K-12 substr. MG1655	GCF_000005845.2	y	n
RefSoil_2	NC_000963.1	272947	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia prowazekii	Rickettsia prowazekii str. Madrid E	272947.13	n		GCF_000195735.1		y	y	Rickettsia prowazekii str. Madrid E	GCF_000195735.1	y	y
RefSoil_3	NC_000964.3	224308	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	Bacillus subtilis subsp. subtilis str. 168	224308.192	n		GCF_000009045.1		y	n	Bacillus subtilis subsp. subtilis str. 168	GCF_000009045.1	y	n
RefSoil_4	"NC_001263.1,NC_001264.1"	243230	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus radiodurans	Deinococcus radiodurans R1	"243230.54,243230.53"	n		GCF_008329785.1		y	n	Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539	GCF_020546685.1	y	n
RefSoil_5	NC_002488.3	160492	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xylella	Xylella fastidiosa	Xylella fastidiosa 9a5c	160492.35	n		GCF_000006725.1		y	n	Xylella fastidiosa 9a5c	GCF_000006725.1	y	n
RefSoil_6	NC_002516.2	208964	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	Pseudomonas aeruginosa PAO1	208964.96	n		GCF_000006765.1		y	n	Pseudomonas aeruginosa PAO1	GCF_000247435.1	y	n
RefSoil_7	NC_002570.2	272558	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus halodurans	Bacillus halodurans C-125	272558.18	n		GCF_000011145.1		y	n	Halalkalibacterium halodurans C-125	GCF_000011145.1	y	n
RefSoil_8	NC_002578.1	273075	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Thermoplasma	Thermoplasma acidophilum	Thermoplasma acidophilum DSM 1728	273075.14	n		GCF_000195915.1		y	n	Thermoplasma acidophilum DSM 1728	GCF_000195915.1	y	n
RefSoil_9	NC_002678.2	266835	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium loti	Mesorhizobium loti MAFF303099	266835.25	n		GCF_000009625.1		y	y	Mesorhizobium japonicum MAFF 303099	GCF_000009625.1	y	y
RefSoil_10	NC_002689.2	273116	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Thermoplasma	Thermoplasma volcanium	Thermoplasma volcanium GSS1	273116.12	n		GCF_000011185.1		y	n	Thermoplasma volcanium GSS1	GCF_000011185.1	y	n
RefSoil_11	NC_002927.3	257310	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella bronchiseptica	Bordetella bronchiseptica RB50	257310.21	n		GCF_000195675.1		y	n	Bordetella bronchiseptica RB50	GCF_000195675.1	y	n
RefSoil_12	NC_002936.3	243164	Bacteria	Chloroflexi	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalococcoides	Dehalococcoides mccartyi	Dehalococcoides mccartyi 195	243164.22	n		GCF_000011905.1		y	n	Dehalococcoides mccartyi 195	GCF_000011905.1	y	n
RefSoil_13	NC_002937.3	882	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio vulgaris	Desulfovibrio vulgaris str. Hildenborough	882.26	n		GCF_000195755.1		y	n	Desulfovibrio vulgaris str. Hildenborough	GCF_000195755.1	y	n
RefSoil_14	NC_002939.5	243231	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Geobacter sulfurreducens	Geobacter sulfurreducens PCA	243231.21	n		GCF_000007985.2		y	n	Geobacter sulfurreducens PCA	GCF_000007985.2	y	n
RefSoil_15	NC_002944.2	262316	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium avium	Mycobacterium avium subsp. paratuberculosi	262316.32	n		GCF_000835225.1		y	n	Mycobacterium avium subsp. paratuberculosis K-10	GCF_000007865.1	y	n
RefSoil_16	NC_002971.3	227377	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella	Coxiella burnetii	Coxiella burnetii RSA 493	227377.19	n		GCF_000007765.2		y	n	Coxiella burnetii RSA 493	GCF_000007765.2	y	n
RefSoil_17	NC_002973.6	265669	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes	Listeria monocytogenes serotype 4b str. F2365	265669.21	n		GCF_000008285.1		y	n	Listeria monocytogenes serotype 4b str. F2365	GCF_000008285.1	y	n
RefSoil_18	NC_003030.1	272562	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium acetobutylicum	Clostridium acetobutylicum ATCC 824	272562.49	n		GCF_000008765.1		y	n	Clostridium acetobutylicum ATCC 824	GCF_000008765.1	y	n
RefSoil_19	"NC_003062.2,NC_003063.2"	176299	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium fabrum	Agrobacterium fabrum str. C58	"176299.29,176299.28"	n		GCF_000092025.1		y	n	Agrobacterium fabrum str. C58	GCF_000092025.1	y	n
RefSoil_20	NC_003155.4	227882	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces avermitilis	Streptomyces avermitilis MA-4680	227882.42	n		GCF_001514135.1		y	y	Streptomyces avermitilis MA-4680 = NBRC 14893	GCF_000009765.2	y	y
RefSoil_21	NC_003197.1	99287	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	Salmonella enterica	Salmonella enterica subsp. enterica serova	99287.126	n		0		n	n	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	GCF_000022165.1	y	n
RefSoil_22	NC_003212.1	272626	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria innocua	Listeria innocua Clip11262	272626.18	n		GCF_000195795.1		y	n	Listeria innocua Clip11262	GCF_000195795.1	y	n
RefSoil_23	NC_003272.1	103690	Bacteria	Cyanobacteria		Nostocales	Nostocaceae	Nostoc		Nostoc sp. PCC 7120	103690.28	y		GCF_000009705.1		y	n	Nostoc sp. PCC 7120 = FACHB-418	GCF_000009705.1	y	n
RefSoil_24	NC_003295.1	267608	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum	Ralstonia solanacearum GMI1000	267608.24	y		GCF_000009125.1		y	n	Ralstonia pseudosolanacearum GMI1000	GCF_000009125.1	y	n
RefSoil_25	NC_003361.3	227941	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydophila	Chlamydophila caviae	Chlamydophila caviae GPIC	227941.15	y		GCF_000007605.1		y	n	Chlamydia caviae GPIC	GCF_000007605.1	y	n
RefSoil_26	NC_003366.1	195102	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium perfringens	Clostridium perfringens str. 13	195102.28	y		GCF_000009685.1		y	n	Clostridium perfringens str. 13	GCF_000009685.1	y	n
RefSoil_27	NC_003552.1	188937	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina acetivorans	Methanosarcina acetivorans C2A	188937.29	y		GCF_000007345.1		y	n	Methanosarcina acetivorans C2A	GCF_000007345.1	y	n
RefSoil_28	NC_003901.1	192952	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina mazei	Methanosarcina mazei Go1	192952.26	y		GCF_000007065.1		y	n	Methanosarcina mazei Go1	GCF_000007065.1	y	n
RefSoil_29	NC_003902.1	190485	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas campestris	Xanthomonas campestris pv. campestris str. ATC	190485.15	y		GCF_000007145.1		y	n	Xanthomonas campestris pv. campestris str. ATCC 33913	GCF_000007145.1	y	n
RefSoil_30	NC_003909.8	222523	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus	Bacillus cereus ATCC 10987	222523.35	y	was removed from NCBI? Was still able to access genome assembly number 	GCF_000008005.1		y	y	Bacillus cereus ATCC 10987	GCF_000008005.1	y	y
RefSoil_31	NC_003997.3	198094	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus anthracis	Bacillus anthracis str. Ames	198094.27	y		GCF_000007845.1		y	n	Bacillus anthracis str. Ames	GCF_000007845.1	y	n
RefSoil_32	NC_004129.6	220664	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas protegens	Pseudomonas protegens Pf-5	220664.38	y		GCF_000012265.1		y	y	Pseudomonas protegens Pf-5	GCF_000012265.1	y	y
RefSoil_33	NC_004193.1	221109	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	Oceanobacillus iheyensis	Oceanobacillus iheyensis HTE831	221109.14	y		GCF_000011245.1		y	n	Oceanobacillus iheyensis HTE831	GCF_000011245.1	y	n
RefSoil_34	"NC_004342.2,NC_004343.2"	189518	Bacteria	Spirochaetes	Spirochaetia		Leptospiraceae	Leptospira	Leptospira interrogans	Leptospira interrogans serovar Lai str. 56601	"189518.28,189518.27"	y		GCF_000092565.1		y	n	Leptospira interrogans serovar Lai str. 56601	GCF_000092565.1	y	n
RefSoil_35	NC_004347.2	211586	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella oneidensis	Shewanella oneidensis MR-1	211586.27	y		GCF_000146165.2		y	n	Shewanella oneidensis MR-1	GCF_000146165.2	y	n
RefSoil_36	NC_004369.1	196164	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium efficiens	Corynebacterium efficiens YS-314	196164.18	y		GCF_000011305.1		y	n	Corynebacterium efficiens YS-314	GCF_000011305.1	y	n
RefSoil_37	NC_004463.1	224911	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium diazoefficiens	Bradyrhizobium diazoefficiens USDA 110	224911.4	y		GCF_000011365.1		y	y	Bradyrhizobium diazoefficiens USDA 110	GCF_000011365.1	y	y
RefSoil_38	NC_004547.2	218491	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Pectobacterium	Pectobacterium atrosepticum	Pectobacterium atrosepticum SCRI1043	218491.2	y		GCF_000011605.1		y	n	Pectobacterium atrosepticum SCRI1043	GCF_000011605.1	y	n
RefSoil_39	NC_004551.1	218496	Bacteria	Actinobacteria	Actinobacteria	Micrococcales		Tropheryma	Tropheryma whipplei	Tropheryma whipplei TW08/27	218496.9	y		GCF_000196075.1		y	n	Tropheryma whipplei TW08/27	GCF_000196075.1	y	n
RefSoil_40	NC_004556.1	183190	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xylella	Xylella fastidiosa	Xylella fastidiosa Temecula1	183190.2	y		GCF_000007245.1		y	n	Xylella fastidiosa Temecula1	GCF_000007245.1	y	n
RefSoil_41	NC_004557.1	212717	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium tetani	Clostridium tetani E88	212717.21	y		GCF_000007625.1		y	n	Clostridium tetani E88	GCF_000007625.1	y	n
RefSoil_42	NC_004572.3	203267	Bacteria	Actinobacteria	Actinobacteria	Micrococcales		Tropheryma	Tropheryma whipplei	Tropheryma whipplei str. Twist	203267.14	y		GCF_000007485.1		y	n	Tropheryma whipplei str. Twist	GCF_000007485.1	y	n
RefSoil_43	NC_004631.1	209261	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	Salmonella enterica	Salmonella enterica subsp. enterica serova	209261.23	y		GCF_000007545.1		y	y	Salmonella enterica subsp. enterica serovar Typhi str. Ty2	GCF_000007545.1	y	y
RefSoil_44	NC_004663.1	226186	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides thetaiotaomicron	Bacteroides thetaiotaomicron VPI-5482	226186.53	y		GCF_000011065.1		y	y	Bacteroides thetaiotaomicron VPI-5482	GCF_000011065.1	y	y
RefSoil_45	NC_004722.1	226900	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus	Bacillus cereus ATCC 14579	226900.31	y		GCF_000007825.1		y	y	Bacillus cereus ATCC 14579	GCF_000007825.1	y	y
RefSoil_46	NC_004757.1	228410	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas	Nitrosomonas europaea	Nitrosomonas europaea ATCC 19718	228410.12	y		GCF_000009145.1		y	n	Nitrosomonas europaea ATCC 19718	GCF_000009145.1	y	n
RefSoil_47	NC_005085.1	243365	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium violaceum	Chromobacterium violaceum ATCC 12472	243365.21	y		GCF_000007705.1		y	n	Chromobacterium violaceum ATCC 12472	GCF_000007705.1	y	n
RefSoil_48	NC_005125.1	251221	Bacteria	Cyanobacteria	Gloeobacteria	Gloeobacterales		Gloeobacter	Gloeobacter violaceus	Gloeobacter violaceus PCC 7421	251221.1	y		GCF_000011385.1		y	n	Gloeobacter violaceus PCC 7421	GCF_000011385.1	y	n
RefSoil_49	NC_005296.1	258594	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Rhodopseudomonas	Rhodopseudomonas palustris	Rhodopseudomonas palustris CGA009	258594.21	y		GCF_000195775.2		y	y	Rhodopseudomonas palustris CGA009	GCF_000195775.2	y	y
RefSoil_50	NC_005363.1	264462	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	Bdellovibrio bacteriovorus	Bdellovibrio bacteriovorus HD100	264462.23	y		GCF_000196175.1		y	n	Bdellovibrio bacteriovorus HD100	GCF_000196175.1	y	n
RefSoil_51	NC_005773.3	264730	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas savastanoi	Pseudomonas savastanoi pv. phaseolicola 1448A	264730.28	y		GCF_000012205.1		y	y	Pseudomonas savastanoi pv. phaseolicola 1448A	GCF_000012205.1	y	y
RefSoil_52	"NC_005823.1,NC_005824.1"	267671	Bacteria	Spirochaetes	Spirochaetia		Leptospiraceae	Leptospira	Leptospira interrogans	Leptospira interrogans serovar Copenhageni str	"267671.23,267671.22"	y		GCF_000216095.1		y	n	Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130	GCF_000007685.1	y	n
RefSoil_53	NC_005861.1	264201	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Parachlamydiaceae	Candidatus Protochlamydia	Candidatus Protochlamydia amoebophila	Candidatus Protochlamydia amoebophila UWE25	264201.25	y		GCF_000011565.2		y	n	Candidatus Protochlamydia amoebophila UWE25	GCF_000011565.2	y	n
RefSoil_54	NC_005877.1	263820	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Picrophilaceae	Picrophilus	Picrophilus torridus	Picrophilus torridus DSM 9790	263820.13	y		GCF_000008265.1		y	n	Picrophilus oshimae DSM 9789	GCF_000008265.1	y	n
RefSoil_55	NC_005945.1	260799	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus anthracis	Bacillus anthracis str. Sterne	260799.43	y		GCF_000008165.1		y	n	Bacillus anthracis str. Sterne	GCF_000008165.1	y	n
RefSoil_56	NC_005966.1	62977	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter		Acinetobacter sp. ADP1	62977.17	y		GCF_000214135.1		y	n	Acinetobacter baylyi ADP1	GCF_000046845.1	y	n
